Nombre de imagen,PID,Nombre de sesi�n,N�m. de sesi�n,Uso de memoria,Estado,Nombre de usuario,Tiempo de CPU,T�tulo de ventana
svchost.exe,17052,Services,0,10.984 KB,Unknown,N/D,0:00:04,N/D
SgrmBroker.exe,17768,Services,0,7.208 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,17832,Services,0,8.860 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,20300,Services,0,5.216 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,11556,Services,0,12.656 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,19812,Services,0,8.584 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,15424,Services,0,8.612 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,7144,Services,0,8.716 KB,Unknown,N/D,0:00:00,N/D
svchost.exe,22700,Services,0,5.960 KB,Unknown,N/D,0:00:00,N/D
csrss.exe,6860,Console,4,6.776 KB,Running,N/D,0:00:33,N/D
winlogon.exe,1992,Console,4,11.516 KB,Unknown,N/D,0:00:00,N/D
fontdrvhost.exe,22708,Console,4,7.432 KB,Unknown,N/D,0:00:00,N/D
dwm.exe,24480,Console,4,71.124 KB,Running,N/D,0:02:56,DWM Notification Window
NVDisplay.Container.exe,500,Console,4,50.524 KB,Running,N/D,0:00:03,UxdService
svchost.exe,11972,Services,0,6.060 KB,Unknown,N/D,0:00:00,N/D
Razer Synapse Service Process.exe,16668,Console,4,54.484 KB,Running,DESKTOP-5I5ARKU\josga,0:00:07,.NET-BroadcastEventWindow.4.0.0.0.7797c1.0
sihost.exe,10148,Console,4,28.000 KB,Running,DESKTOP-5I5ARKU\josga,0:00:01,N/D
svchost.exe,6988,Console,4,25.968 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:06,N/D
svchost.exe,17712,Console,4,8.864 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
svchost.exe,15584,Console,4,35.584 KB,Running,DESKTOP-5I5ARKU\josga,0:00:01,Windows Push Notifications Platform
nvcontainer.exe,8408,Console,4,27.652 KB,Running,DESKTOP-5I5ARKU\josga,0:00:01,{2A335767-FC94-417F-ABC4-B4122ADBEE60}
nvcontainer.exe,19552,Console,4,47.956 KB,Running,DESKTOP-5I5ARKU\josga,0:00:28,BroadcastListenerWindow
taskhostw.exe,13172,Console,4,10.084 KB,Running,DESKTOP-5I5ARKU\josga,0:00:00,Task Host Window
AcPowerNotification.exe,22276,Console,4,10.508 KB,Running,DESKTOP-5I5ARKU\josga,0:00:00,WISPTIS
MonitorMicroKeyDetector.exe,19252,Console,4,12.952 KB,Running,DESKTOP-5I5ARKU\josga,0:00:05,N/D
